,Drug,RMSE,AUC ROC MC,AUC ROC BI,AUC PRC BI,R2 TabPFN,R2 RF,R2 XG,R2 Cat,Time
0,CAB,,,,,,,,,
1,BIC,7.072750047733606,0.8571428571428571,0.875,0.5505952380952381,0.17874685005607865,-0.3761075506197745,-0.6577161583049635,-0.19658761618951295,1.3303251266479492
2,DTG,10.201997908803405,0.8666666666666667,0.8952380952380953,0.6190476190476191,0.15936983170989236,0.015634501353583973,0.2579247065185203,0.181083502828086,2.0256378650665283
3,EVG,14.022312871274863,0.7354260089686099,0.8565022421524664,0.8904109589041096,0.7745094658546918,0.8183012176705573,0.8084912361676491,0.8480979451071431,3.170667886734009
4,RAL,10.508554596689816,0.8884297520661157,0.9256198347107438,0.9329240108242521,0.8598021896677419,0.8250397759364487,0.8182600199197054,0.8349792344766529,40.43805170059204
