,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,RPV,188,0.9138888888888889,0.7598846230993895,1.6816513538360596,0.879107142857143,0.8526190476190475,0.9280952380952382
1,ETR,984,0.9386193173121077,0.7242508939420881,3.45766544342041,0.9222561926401139,0.9303751225162612,0.9499186937538984
2,NVP,2210,0.9829159911127124,0.9832731155446922,6.433173656463623,0.98125678853763,0.983784622750077,0.9847759747679573
3,EFV,2212,0.9686591059588772,0.9338912296933111,6.432754278182983,0.9588675686533525,0.967885052305695,0.9726527124287593
