,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,RPV,188,0.7142857142857143,0.518756474903954,0.7142857142857143,0.8225764026444823,0.8247573071647145,93.13330340385437
1,ETR,984,0.8276923076923077,0.7329697693172621,0.8276923076923077,0.9286902602471759,0.9156548638487197,121.48587107658386
2,NVP,2210,0.9136986301369863,0.8973214509784104,0.9136986301369863,0.9584599331418997,0.9069948450718598,124.77048993110657
3,EFV,2212,0.852054794520548,0.8694987114006323,0.852054794520548,0.9432927271538506,0.9406344855598804,122.40215110778809
