,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,RPV,188,0.9529914529914529,0.9395081194447159,1.693380355834961,0.8246753246753247,0.8611471861471862,0.865422077922078
1,ETR,984,0.9357263765807031,0.8430988871027336,3.1481847763061523,0.9254873123914221,0.930707088542705,0.938652350981118
2,NVP,2210,0.9872466925363651,0.9903697547636976,6.613752365112305,0.9801914595191601,0.98013010445879,0.9849390589083624
3,EFV,2212,0.9778296470872613,0.9760597159940293,6.420287370681763,0.9767696255846543,0.9808871958315457,0.9813830977450191
