,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,DRV,1116,0.9566395663956639,0.9327776986281517,0.9566395663956639,0.9941166470989389,0.9942402008068179,0.41319918632507324
1,TPV,1345,0.8378378378378378,0.8143701622246013,0.8378378378378378,0.9339565064185636,0.9457487098819807,0.49326539039611816
2,SQV,2298,0.8787878787878788,0.921843151173253,0.8787878787878788,0.9637852909163331,0.9697919696615441,0.7258989810943604
3,NFV,2344,0.9599483204134367,0.9704223297142273,0.9599483204134367,0.9913203336934546,0.9848824059464295,0.9156320095062256
4,LPV,1999,0.9212121212121213,0.9430922423411745,0.9212121212121213,0.9787123639930917,0.9841478446701734,0.785830020904541
5,IDV,2297,0.8919631093544137,0.9316707033294636,0.8919631093544137,0.9682931024208764,0.9755359475809268,0.72934889793396
6,ATV,1656,0.906764168190128,0.9404391327499363,0.906764168190128,0.971791621791776,0.9769587569129023,0.5917873382568359
7,FPV,2246,0.9150943396226415,0.9374812207375107,0.9150943396226415,0.9735239268170742,0.9792998735254134,2.2063658237457275
