,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,CAB,0,,,,,,
1,BIC,167,0.9285714285714286,0.8270273531691997,0.9285714285714286,0.9920438637864636,0.9916142557651991,0.5892863273620605
2,DTG,317,0.9333333333333333,0.7906465352314791,0.9333333333333333,0.9776882683566197,0.9449726551748402,0.44774532318115234
3,EVG,674,0.8968609865470852,0.9081860834856188,0.8968609865470852,0.9679160280396568,0.9789636229349518,0.5638341903686523
4,RAL,733,0.9090909090909091,0.9153997039247058,0.9090909090909091,0.9682455695980714,0.9737037847747829,0.5837020874023438
