,Drug,Samples,AUC ROC,Time,AUC RF,AUC XGB,AUC CatB
0,CAB,0,,,,,
1,BIC,167,0.9049462330122707,3.8986363410949707,0.8684684207668079,0.900437438905181,0.9064176713370262
2,DTG,317,0.8791575082294839,6.339172601699829,0.8341763893110745,0.9263653447597153,0.9201657260661499
3,EVG,674,0.9515298031313336,9.34088921546936,0.7960751716399928,0.8678166563774408,0.8855791897023776
4,RAL,733,0.9604388466107814,44.170644998550415,0.8712118612494841,0.9097986521640848,0.9370337322199663
