,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,DRV,1116,0.9859302325581396,0.8750421094724242,1.8502068519592285,0.9893131050497121,0.9871907705389846,0.9905468341182626
1,TPV,1345,0.960333650664128,0.7996695442751751,2.499573230743408,0.9354230311203142,0.9396874014708013,0.9519305065572514
2,SQV,2298,0.9616607598290882,0.9061285713674475,4.003695011138916,0.9680360994633703,0.9697717136435001,0.9764528837861487
3,NFV,2344,0.9857870544594378,0.9866216430609699,4.08971643447876,0.9823187630445697,0.9835271855433145,0.9868817204301076
4,LPV,1999,0.9676943426943426,0.8712040550628761,3.5128068923950195,0.9601332720637924,0.9625788728206516,0.9707905987295581
5,IDV,2297,0.9489467124661823,0.896647850783657,4.137784481048584,0.9586639221769382,0.9617578220764653,0.9656039852037412
6,ATV,1656,0.9675883256528418,0.9498553506358869,2.7895095348358154,0.9595747194150818,0.9662234524245366,0.9707242858498807
7,FPV,2246,0.975019623233909,0.9118535783300821,3.820739269256592,0.9677548492608692,0.971512823452968,0.9774195376537997
