,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,CAB,0,,,,,,
1,BIC,167,0.923076923076923,0.3079545454545455,3.8684189319610596,0.9104166666666668,0.9235416666666667,0.9400000000000001
2,DTG,317,0.8929211469534051,0.6019370312739253,6.498184680938721,0.9203869047619048,0.9455357142857143,0.943452380952381
3,EVG,674,0.9723965877997747,0.9745281512776192,9.39835786819458,0.8859151785714288,0.9379761904761906,0.958266369047619
4,RAL,733,0.9890238046237223,0.989751189662073,11.16036057472229,0.9350665188470068,0.9651251847745751,0.9827439024390244
