,Drug,RMSE,AUC ROC MC,AUC ROC BI,AUC PRC BI,R2 TabPFN,R2 RF,R2 XG,R2 Cat,Time
0,RPV,15.843676958196754,0.6666666666666666,0.7936507936507936,0.8156746031746032,0.46491248171430455,0.2921133003488684,0.13220129083411122,0.3271284018856803,2.1581919193267822
1,ETR,14.50782818481628,0.7815384615384615,0.8584615384615385,0.7959733283030009,0.35351816333617003,0.3779799344296146,0.41580875289067176,0.4347824503482361,5.2787017822265625
2,NVP,22.098405515445226,0.8904109589041096,0.9246575342465754,0.9418339792621163,0.7781327665001674,0.784624583060836,0.7939899920259291,0.8108408754780907,15.519455432891846
3,EFV,18.92251326246151,0.821917808219178,0.9164383561643835,0.9241699433053301,0.7413533333787887,0.7339821058786336,0.7278990348360166,0.7694684952909441,15.76046633720398
