,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,TDF,1814,0.9095937770095075,0.6396144236994974,5.168085336685181,0.9102300336186684,0.9196445723810331,0.93035772805605
1,DDI,2153,0.9035097780581522,0.5943578897396147,5.995364665985107,0.9136864475062445,0.8935347342249751,0.9249243334345048
2,D4T,2153,0.9610353501919767,0.8439584228631624,6.288497686386108,0.9453213103553202,0.948588268085369,0.9578202165066572
3,AZT,2143,0.9386075761913694,0.8623922245312884,6.159147500991821,0.9127703136444231,0.932119148638575,0.9358349929398548
4,ABC,2057,0.9341899441340782,0.8306079185815729,5.808208703994751,0.9163614510765173,0.9236364897795359,0.9331658696711675
5,3TC,2122,0.987985347985348,0.985920021439661,6.128056049346924,0.9890374016415683,0.9900531422396688,0.990916162987814
