,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,CAB,0,,,,,,
1,BIC,167,0.7999999999999999,0.041666666666666664,3.909702777862549,,,
2,DTG,317,0.8638613861386139,0.1690110693400167,8.780574083328247,0.8275862068965518,0.9323563218390806,0.9544252873563218
3,EVG,674,0.9647058823529412,0.9422410179868516,17.126791954040527,0.899953514739229,0.9197879818594105,0.9642539682539683
4,RAL,733,0.9602896341463415,0.944171447512219,9.545611143112183,0.9499327873384477,0.9672040223927016,0.9719016518073123
