,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,TDF,1814,0.9165143437420664,0.8272577143631432,5.185518980026245,0.8936448547642201,0.9181069585709029,0.9210508883307321
1,DDI,2153,0.9019693689103992,0.9147377217034702,6.359184741973877,0.8929864030028234,0.8978602875565109,0.9069900892150482
2,D4T,2153,0.9510880878797098,0.9481476663801998,6.391520738601685,0.9452320056490773,0.9480164215963931,0.9552987591665346
3,AZT,2143,0.9739944134078211,0.9732649743174702,6.174139499664307,0.9532170401250651,0.9640389525794685,0.9661683602570784
4,ABC,2057,0.9862717331445205,0.9927865714726297,5.790975332260132,0.9795404408986699,0.9859945788851878,0.9860471543425368
5,3TC,2122,0.975721507430639,0.9816557920256221,6.0493433475494385,0.9778684784222875,0.9811145581140769,0.9824353279617114
