,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,TDF,1814,0.8864774624373957,0.8664953136824223,0.8864774624373957,0.9681091254678257,0.9750710068601919,1.411971092224121
1,DDI,2153,0.8396624472573839,0.7819354373681091,0.8396624472573839,0.9210251935193216,0.9443287193334374,1.360365390777588
2,D4T,2153,0.8818565400843882,0.9003862323484838,0.8818565400843882,0.957352162249168,0.971635792215627,1.4271936416625977
3,AZT,2143,0.8728813559322034,0.9100380404893859,0.8728813559322034,0.9599216473953773,0.9718104599705623,1.3898556232452393
4,ABC,2057,0.8851251840942562,0.9008772395240949,0.8851251840942562,0.9626987395409479,0.9751968032243106,1.3195583820343018
5,3TC,2122,0.9329529243937232,0.9484151521240305,0.9329529243937232,0.9864400577983098,0.9868322203248593,1.4174325466156006
