,Drug,Samples,AUC ROC,AUC PRC,Time,AUC RF,AUC XGB,AUC CatB
0,DRV,1116,0.9761451247165533,0.9032672466141191,2.169724941253662,0.9673525489074921,0.9628761509822208,0.9686748715785111
1,TPV,1345,0.9528839965378726,0.9206737983652287,2.461531639099121,0.9308930278574445,0.9400366004135264,0.9411844508918976
2,SQV,2298,0.9835573089469429,0.9819237084592699,4.137714862823486,0.9800096359563281,0.9817822573681788,0.98601370020723
3,NFV,2344,0.9882577864293659,0.990008921400048,4.2413458824157715,0.9841373736718977,0.9814943990171304,0.9848757529791994
4,LPV,1999,0.9893146339427331,0.9877491536093241,3.6067938804626465,0.9863404225743675,0.9855233991289036,0.988459271615235
5,IDV,2297,0.9919283300478738,0.993659090706237,4.366007566452026,0.9853833241121377,0.9820530021028526,0.9850538299690843
6,ATV,1656,0.9857767755257295,0.9872483361243736,2.8654003143310547,0.9813635723635723,0.9842431178431177,0.9871244607244607
7,FPV,2246,0.9809592326139088,0.975349545998823,9.046129703521729,0.9736636626583295,0.9779049761103096,0.9802762815456149
