,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,DRV,1116,0.907859078590786,0.8413975495887988,0.907859078590786,0.9757338402919743,0.9730522974096121,0.404541015625
1,TPV,1345,0.8063063063063063,0.7946585980210157,0.8063063063063063,0.9051672090636544,0.9197966237111173,0.44797444343566895
2,SQV,2298,0.8247694334650857,0.8740806775213712,0.8247694334650857,0.9308274177461651,0.94047069185343,0.6768429279327393
3,NFV,2344,0.9069767441860465,0.892018729627433,0.9069767441860465,0.9739424621006768,0.9582170157568113,0.7827820777893066
4,LPV,1999,0.853030303030303,0.8898767260665705,0.853030303030303,0.9431396185475144,0.9563255400015883,0.7585062980651855
5,IDV,2297,0.8234519104084321,0.8827715200962809,0.8234519104084321,0.9285052401908103,0.9437558744255266,0.6738317012786865
6,ATV,1656,0.8628884826325411,0.9023753322487607,0.8628884826325411,0.948464173390915,0.9570254344945156,0.5582787990570068
7,FPV,2246,0.8557951482479784,0.8822228685826438,0.8557951482479784,0.9326883377160492,0.9506661165403297,16.36449146270752
