,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,DRV,1116,0.9186991869918699,0.8588569492008425,0.9186991869918699,0.9755336167277271,0.9712975493551733,118.56810402870178
1,TPV,1345,0.8040540540540541,0.7905222338557302,0.8040540540540541,0.91144533094728,0.9260790931784602,121.36425995826721
2,SQV,2298,0.8445322793148881,0.8894238371795495,0.8445322793148881,0.9376493953961845,0.9469850654009747,120.88167381286621
3,NFV,2344,0.9095607235142119,0.9017374335340119,0.9095607235142119,0.973303387580647,0.9570514169497212,123.35854434967041
4,LPV,1999,0.8575757575757575,0.9004418260229334,0.8575757575757575,0.9489503289513844,0.9604470956286989,124.3520610332489
5,IDV,2297,0.8379446640316206,0.8929282603757956,0.8379446640316206,0.9317153211016087,0.946570080373102,121.59781074523926
6,ATV,1656,0.8793418647166362,0.9115763649646679,0.8793418647166362,0.9563689348328619,0.9639546037285984,123.77678561210632
7,FPV,2246,0.8679245283018868,0.893702978392337,0.8679245283018868,0.9396377261818649,0.9552949702930508,147.3704092502594
