,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,CAB,0,,,,,,
1,BIC,167,0.9107142857142857,0.584666311438545,0.9107142857142857,0.975163683915738,0.9186335415108999,0.5035302639007568
2,DTG,317,0.9047619047619048,0.6347534965341584,0.9047619047619048,0.9618069577835274,0.8970677254234679,0.40202951431274414
3,EVG,674,0.8385650224215246,0.8419296953350495,0.8385650224215246,0.9330416846753409,0.952701301925412,0.5372140407562256
4,RAL,733,0.8801652892561983,0.885217983845406,0.8801652892561983,0.9490886269531844,0.9502690115815366,0.5636982917785645
