,Drug,Samples,AUC ROC One Hot,AUC PRC One Hot,AUC ROC Intrinsic,AUC PRC Intrinsic,Time One Hot,Time Intrinsic
0,TDF,1814,0.9165143437420664,0.8272577143631432,0.9111195734958112,0.8200030316989145,5.446851968765259,1.244509220123291
1,DDI,2153,0.9019693689103992,0.9147377217034702,0.8994618862637712,0.9062374928514836,6.035417556762695,1.4627313613891602
2,D4T,2153,0.9510880878797098,0.9481476663801998,0.9531537734791589,0.9504077152242675,6.3820672035217285,1.3445019721984863
3,AZT,2143,0.9739944134078211,0.9732649743174702,0.9710574620909818,0.9692971078955993,6.3467326164245605,1.376298427581787
4,ABC,2057,0.9862717331445205,0.9927865714726297,0.9835477145779246,0.9906681345657433,5.8655688762664795,1.3882956504821777
5,3TC,2122,0.975721507430639,0.9816557920256221,0.9795340423013846,0.9865443753708778,6.051860094070435,1.391977071762085
