,Drug,RMSE,AUC ROC MC,AUC ROC BI,AUC PRC BI,R2 TabPFN,R2 RF,R2 XG,R2 Cat,Time
0,DRV,12.468091237522508,0.8943089430894309,0.926829268292683,0.8538765170260398,0.8389178442091495,0.7562218912240427,0.7558636322566826,0.7879492799622156,3.4472036361694336
1,TPV,13.789128372740668,0.7837837837837838,0.8603603603603603,0.8479139158881471,0.3586252913633075,0.330312835463827,0.4395332671748219,0.350351720158003,4.316529750823975
2,SQV,18.05861390519354,0.8221343873517787,0.9262187088274044,0.9336437342659771,0.7765220865105299,0.7431727073100691,0.7359320799309707,0.7609776326054373,7.698833227157593
3,NFV,19.450319745464704,0.9018087855297158,0.9521963824289406,0.9657131102375763,0.6982300370802343,0.6400003730609448,0.637595054498956,0.6931194963479863,8.966647624969482
4,LPV,16.034052461872978,0.8393939393939394,0.9409090909090909,0.9435185185185184,0.8379434880637516,0.7488821871303291,0.7787465788111895,0.8212644349657643,6.583881855010986
5,IDV,16.607809041114635,0.841897233201581,0.9525691699604744,0.9652497079076242,0.691091651614699,0.634062197317964,0.6461762363620872,0.6758091273225556,7.617163419723511
6,ATV,18.584107373327193,0.8372943327239488,0.9414990859232175,0.9534327119933926,0.7400899121588563,0.6595319566976314,0.6758013807296016,0.717070709717387,8.559227228164673
7,FPV,12.23896921296426,0.8504043126684636,0.9177897574123989,0.9218080033174374,0.7890009653600986,0.7213030579749079,0.7326309629534513,0.7599052081677771,8.652939796447754
