,Drug,RMSE,AUC ROC MC,AUC ROC BI,AUC PRC BI,R2 TabPFN,R2 RF,R2 XG,R2 Cat,Time
0,TDF,1.8138238395458486,0.7362270450751253,0.8030050083472454,0.7945912564300937,0.2212080947634057,-0.2971799507262017,-0.9565813693501803,-0.39419407812731755,9.602346897125244
1,DDI,3.1713678019866776,0.7468354430379747,0.8059071729957806,0.8649862591382467,0.6407143277914644,0.5690275806236127,-0.2740503070461124,0.5262661247616347,11.466434717178345
2,D4T,3.7471659983567247,0.7890295358649789,0.869198312236287,0.8837433957028256,0.41997804883698686,-0.04532792094844669,-0.2724002465173016,0.1388292687777533,11.89883542060852
3,AZT,22.56294387604995,0.731638418079096,0.8926553672316384,0.9109861711289009,0.6186343727497495,0.6047860612865434,0.5963262372841908,0.6268364594610552,11.644479513168335
4,ABC,2.2946213755110048,0.8100147275405007,0.9455081001472754,0.9678576317540217,0.5623521483636802,0.4111908305389598,0.2914267885237034,0.3453373238120061,10.66201901435852
5,3TC,16.514755327402042,0.8958630527817404,0.9158345221112696,0.9496615442252548,0.89891002131186,0.890925533253448,0.878662300043637,0.8961752151383054,11.171492338180542
