,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,CAB,0,,,,,,
1,BIC,167,0.9107142857142857,0.4625120730663488,0.9107142857142857,0.9776570523376756,0.9276341059359927,87.6326653957367
2,DTG,317,0.9142857142857143,0.6628032841370792,0.9142857142857143,0.965310858884199,0.9074878562293653,98.78337097167969
3,EVG,674,0.8475336322869955,0.8779962328518212,0.8475336322869955,0.9289275559974399,0.9536788517105634,121.53275680541992
4,RAL,733,0.9008264462809917,0.9053013615246672,0.9008264462809917,0.956865426671188,0.9616435013581693,122.62835645675659
