,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,RPV,188,0.7777777777777778,0.7798173578124079,0.7777777777777778,0.8982435271668091,0.9052930779782632,0.3521082401275635
1,ETR,984,0.8492307692307692,0.7560319453075918,0.8492307692307692,0.9411835867078079,0.9363273489002792,0.672539234161377
2,NVP,2210,0.9424657534246575,0.9549528909241479,0.9424657534246575,0.982626905331017,0.9583824949293348,1.4210588932037354
3,EFV,2212,0.9082191780821918,0.9363990095230199,0.9082191780821918,0.974584571974423,0.9727372636962034,1.4349277019500732
