,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,TDF,1814,0.7846410684474123,0.707070944334491,0.7846410684474123,0.8848678153196189,0.8934290864093125,1.2199079990386963
1,DDI,2153,0.759493670886076,0.6462478486636476,0.759493670886076,0.8408921397348017,0.8782134120023435,2.4070401191711426
2,D4T,2153,0.8115330520393812,0.8231379989927671,0.8115330520393812,0.8955611837260948,0.930464157690758,2.2016115188598633
3,AZT,2143,0.7796610169491526,0.7998132908856143,0.7796610169491526,0.897382805824491,0.9257357362098521,2.2289304733276367
4,ABC,2057,0.8041237113402062,0.8326973405605903,0.8041237113402062,0.9006179229533409,0.937413663167236,2.026219606399536
5,3TC,2122,0.9001426533523538,0.9129761114809823,0.9001426533523538,0.9696464003953774,0.9701995693908859,2.323225736618042
