,Drug,Samples,AUC ROC One Hot,AUC PRC One Hot,AUC ROC Intrinsic,AUC PRC Intrinsic,Time One Hot,Time Intrinsic
0,RPV,188,0.9529914529914529,0.9395081194447159,0.8952991452991452,0.8649145322778662,1.872861385345459,0.37435460090637207
1,ETR,984,0.9357263765807031,0.8430988871027336,0.9280095588967441,0.8171314665392081,2.9712436199188232,0.9348938465118408
2,NVP,2210,0.9872466925363651,0.9903697547636976,0.9803102850961793,0.9839974134047051,6.533194541931152,1.389354944229126
3,EFV,2212,0.9778296470872613,0.9760597159940293,0.9785321489001692,0.9757541780240636,6.593877792358398,1.4164440631866455
