,Drug,Samples,AUC ROC One Hot,AUC PRC One Hot,AUC ROC Intrinsic,AUC PRC Intrinsic,Time One Hot,Time Intrinsic
0,DRV,1116,0.9761451247165533,0.9032672466141191,0.973968253968254,0.895427703538392,1.9149279594421387,0.4024519920349121
1,TPV,1345,0.9528839965378726,0.9206737983652287,0.948467564748441,0.9125508762581186,2.272918701171875,0.48082590103149414
2,SQV,2298,0.9835573089469429,0.9819237084592699,0.9797306716480332,0.9776076692998091,4.060860872268677,0.660240888595581
3,NFV,2344,0.9882577864293659,0.990008921400048,0.9883342602892102,0.9912826468460051,4.064606189727783,0.6964027881622314
4,LPV,1999,0.9893146339427331,0.9877491536093241,0.9880346161337897,0.9859043680741992,3.4379584789276123,0.649970531463623
5,IDV,2297,0.9919283300478738,0.993659090706237,0.9913580681498171,0.9931078764761363,3.9488117694854736,0.6670413017272949
6,ATV,1656,0.9857767755257295,0.9872483361243736,0.9867141226973863,0.9888471555220453,2.949256658554077,0.5297181606292725
7,FPV,2246,0.9809592326139088,0.975349545998823,0.9764729754657813,0.9702359969867412,5.453081369400024,0.6781294345855713
