,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,RPV,188,0.7619047619047619,0.6536073549888864,0.7619047619047619,0.8639341043940116,0.8820565579824838,0.34705686569213867
1,ETR,984,0.8215384615384616,0.7478537394302133,0.8215384615384616,0.9212299146562322,0.9076954642226092,0.6781492233276367
2,NVP,2210,0.9123287671232877,0.886218987263373,0.9123287671232877,0.968565002781644,0.9274175067789553,2.0871541500091553
3,EFV,2212,0.8479452054794521,0.8660962460129674,0.8479452054794521,0.9385989046755162,0.9345142014448777,2.2365341186523438
