,Drug,Samples,Accuracy,Pearson,F1,AUC PRC,AUC ROC,Time
0,TDF,1814,0.7746243739565943,0.6718441708468199,0.7746243739565943,0.88314361627895,0.8961814915792664,121.70701837539673
1,DDI,2153,0.7510548523206751,0.639492376267171,0.7510548523206751,0.843035974841463,0.8786930059221049,124.86047959327698
2,D4T,2153,0.8185654008438819,0.833673466738023,0.8185654008438819,0.9034980469748626,0.9346870472931954,124.46132636070251
3,AZT,2143,0.7725988700564972,0.7984349923936707,0.7725988700564972,0.8999078925975822,0.9295315095146597,123.2546911239624
4,ABC,2057,0.7952871870397643,0.8262255475540691,0.7952871870397643,0.901580301481845,0.9382701676311097,122.93993282318115
5,3TC,2122,0.9029957203994294,0.8996676353949191,0.9029957203994294,0.9695439872751964,0.9705322477512127,122.64630341529846
