iter	Passed	Remaining
429	1632	2163
430	1635	2159
431	1639	2155
432	1643	2152
433	1647	2148
434	1650	2144
435	1654	2140
436	1657	2135
437	1661	2131
438	1664	2127
439	1668	2123
440	1671	2118
441	1675	2114
442	1678	2110
443	1681	2106
444	1685	2102
445	1688	2097
446	1692	2094
447	1696	2090
448	1699	2086
449	1703	2081
450	1706	2077
451	1710	2073
452	1713	2069
453	1717	2065
454	1720	2060
455	1723	2056
456	1727	2052
457	1730	2048
458	1734	2044
459	1737	2039
460	1741	2035
461	1744	2031
462	1748	2027
463	1751	2023
464	1755	2019
465	1758	2015
466	1762	2011
467	1765	2007
468	1769	2003
469	1772	1999
470	1776	1994
471	1779	1990
472	1783	1986
473	1786	1982
474	1790	1978
475	1793	1974
476	1796	1970
477	1800	1965
478	1803	1961
479	1806	1957
480	1810	1953
481	1814	1949
482	1817	1945
483	1821	1941
484	1824	1937
485	1828	1933
486	1831	1929
487	1834	1925
488	1838	1921
489	1841	1916
490	1845	1912
491	1848	1908
492	1852	1904
493	1855	1900
494	1858	1896
495	1862	1892
496	1865	1888
497	1869	1884
498	1872	1880
499	1876	1876
500	1879	1872
501	1883	1868
502	1887	1864
503	1890	1860
504	1893	1856
505	1897	1852
506	1900	1848
507	1904	1844
508	1907	1840
509	1910	1835
510	1914	1831
511	1917	1827
512	1921	1823
513	1924	1819
514	1928	1815
515	1931	1812
516	1935	1808
517	1938	1804
518	1942	1800
519	1945	1796
520	1949	1791
521	1952	1788
522	1956	1784
523	1959	1780
524	1963	1776
525	1966	1772
526	1970	1768
527	1973	1764
528	1976	1760
529	1980	1756
530	1984	1752
531	1987	1748
532	1991	1744
533	1994	1740
534	1998	1736
535	2001	1732
536	2005	1729
537	2008	1724
538	2012	1721
539	2016	1717
540	2019	1713
541	2022	1709
542	2026	1705
543	2029	1701
544	2033	1697
545	2036	1693
546	2040	1689
547	2043	1685
548	2046	1681
549	2050	1677
550	2053	1673
551	2056	1669
552	2060	1665
553	2063	1661
554	2067	1657
555	2070	1653
556	2074	1649
557	2077	1645
558	2081	1641
559	2084	1637
560	2087	1633
561	2091	1629
562	2094	1625
563	2097	1621
564	2101	1617
565	2104	1613
566	2107	1609
567	2111	1605
568	2114	1601
569	2118	1597
570	2121	1593
571	2124	1589
572	2128	1585
573	2131	1582
574	2135	1578
575	2138	1574
576	2141	1570
577	2145	1566
578	2148	1562
579	2152	1558
580	2155	1554
581	2159	1550
582	2162	1546
583	2166	1542
584	2169	1538
585	2172	1535
586	2176	1531
587	2179	1527
588	2183	1523
589	2186	1519
590	2189	1515
591	2193	1511
592	2196	1507
593	2199	1503
594	2203	1499
595	2206	1495
596	2209	1491
597	2213	1487
598	2216	1484
599	2220	1480
600	2223	1476
601	2227	1472
602	2230	1468
603	2234	1465
604	2237	1461
605	2241	1457
606	2244	1453
607	2248	1449
608	2254	1447
609	2258	1443
610	2261	1439
611	2265	1436
612	2268	1432
613	2272	1428
