iter	MultiClass
0	1.006431051
1	0.9324672142
2	0.8754572203
3	0.8286000416
4	0.7855697914
5	0.7447392982
6	0.7020217424
7	0.6658584832
8	0.6349677796
9	0.6079189519
10	0.5848167225
11	0.5629654056
12	0.5425348875
13	0.5232350281
14	0.5073806354
15	0.492915593
16	0.4793098052
17	0.4655391421
18	0.4549675289
19	0.4386249418
20	0.4256466613
21	0.4133805857
22	0.4030311385
23	0.3933444051
24	0.3845576514
25	0.3788285323
26	0.3717577255
27	0.3624107085
28	0.3539060381
29	0.3454566526
30	0.3410881535
31	0.3368593354
32	0.3295773156
33	0.3234444089
34	0.3189425055
35	0.3126787464
36	0.3072951804
37	0.3026219783
38	0.2978824868
39	0.2947791647
40	0.2896347326
41	0.2847332362
42	0.2821815319
43	0.2772260671
44	0.2728103058
45	0.270059837
46	0.2659224874
47	0.2638149752
48	0.2611964317
49	0.2588301801
50	0.2566588585
51	0.2542611808
52	0.2514141907
53	0.2489687433
54	0.2455278457
55	0.2429733447
56	0.239879914
57	0.2392068046
58	0.2366559575
59	0.2347975681
60	0.2325114131
61	0.2313274701
62	0.2294333186
63	0.2274377416
64	0.2257891199
65	0.2236371121
66	0.2213089778
67	0.2183092815
68	0.215893638
69	0.2134807166
70	0.2119238844
71	0.2099428267
72	0.2083472521
73	0.2073730282
74	0.2069391403
75	0.2055370735
76	0.202720868
77	0.2008689023
78	0.198199908
79	0.196564332
80	0.1944343357
81	0.1920181057
82	0.1907467068
83	0.1883014153
84	0.1880642736
85	0.1865058653
86	0.1843082198
87	0.1838603211
88	0.1820658477
89	0.1815986903
90	0.1793682444
91	0.1784583655
92	0.1780992678
93	0.1759686434
94	0.1745898017
95	0.1740966287
96	0.1739049191
97	0.1728532243
98	0.171513997
99	0.1709424671
100	0.1689317143
101	0.1685475737
102	0.1684020543
103	0.1678278453
104	0.1672464324
105	0.1661621055
106	0.1654373202
107	0.1637063566
108	0.162307185
109	0.1617085666
110	0.1615611475
111	0.1599661984
112	0.1580929001
113	0.1575195864
114	0.1561550443
115	0.1543591431
116	0.1530134621
117	0.1520815495
118	0.1507498684
119	0.150344123
120	0.1492578338
121	0.1487203757
122	0.1485223965
123	0.1482457793
124	0.1469822927
125	0.1457191154
126	0.1449352826
127	0.143418494
128	0.1417432802
129	0.1414658131
130	0.141115964
131	0.1403984362
132	0.1398408701
133	0.1388401272
134	0.1385726194
135	0.1380275561
136	0.1379085435
137	0.1371144168
138	0.1365961341
139	0.1362110541
140	0.135987314
141	0.1350095406
142	0.1343004189
143	0.1334402078
144	0.1322558185
145	0.1319594928
146	0.131311944
147	0.131139703
148	0.1301192334
149	0.1287390968
150	0.1276548936
151	0.1270311189
152	0.1268797564
153	0.126734558
154	0.1263608228
155	0.1262007238
156	0.1255174111
157	0.1253062468
158	0.1239944932
159	0.1235462057
160	0.1234397489
161	0.1231460023
162	0.1223672539
163	0.1222228346
164	0.1215795014
165	0.1208385511
166	0.1207289356
167	0.120512497
168	0.1201804991
169	0.1198681527
170	0.1195793008
171	0.1187242407
172	0.1184550515
173	0.1172062174
174	0.1168108628
175	0.1163783104
176	0.115283052
177	0.1146524381
178	0.1140481687
179	0.1139133016
180	0.1133279347
181	0.1128213004
182	0.1126642173
183	0.1118574598
184	0.1112674394
185	0.1103284674
186	0.1100824227
187	0.1094038782
188	0.1092252837
189	0.1084995641
190	0.1083949294
191	0.107788386
192	0.1075242772
193	0.1066714641
194	0.1065497425
195	0.1058855781
196	0.1054281943
197	0.1046137554
198	0.1041755517
199	0.1031605619
200	0.102800625
201	0.102373289
202	0.1021819442
203	0.1020519052
204	0.1017666185
205	0.1012335786
206	0.1008043174
207	0.1006337793
208	0.09988938157
209	0.09952686755
210	0.09881436293
211	0.09857448859
212	0.09824304078
213	0.09808273232
214	0.09795235648
215	0.09744041205
216	0.09679666454
217	0.09660940902
218	0.09650801547
219	0.09642624602
220	0.09562814985
221	0.09531829733
222	0.09522193625
223	0.09466082521
224	0.09452886337
225	0.09429773419
226	0.09414760737
227	0.09327717179
228	0.09290793685
229	0.09223281528
230	0.09216894899
231	0.09189032531
232	0.09173804658
233	0.09158292653
234	0.09090873922
235	0.09018037132
236	0.09007811319
237	0.08963104906
238	0.08915919899
239	0.08877615214
240	0.08850370679
241	0.08834692019
242	0.08811847228
243	0.08771597978
244	0.08710420031
245	0.08668848604
246	0.08657610654
247	0.0862629045
248	0.08614050504
249	0.08584827339
250	0.08547517584
251	0.0852872346
252	0.08519805542
253	0.08508881827
254	0.08484545154
255	0.08466526484
256	0.08436074547
257	0.08400958307
258	0.08394526571
259	0.08351596266
260	0.08312115186
261	0.08304717789
262	0.08270133295
263	0.08255865306
264	0.08198717079
265	0.08182842065
266	0.08138893385
267	0.08125581883
268	0.08098222238
269	0.08039172885
270	0.08001647599
271	0.07989165583
272	0.0795357751
273	0.07939343199
274	0.07929110059
275	0.0789531394
276	0.07876146649
277	0.07853572312
